"setting","ARI 1","Dunn 1","ARI2","Dunn2","BIC2","ARI3","Dunn3","BIC3","ARI4","nARI4","Dunn4","nDunn4","ARI5","Dunn5","ARI6","Dunn6"
32,0.333603270222944,0.0181108782818302,0.515979659937914,0.00531681898796137,1398.09357165952,0.406938141686004,0.0513919941331352,-858.677143143875,0.474775911220793,3,0.0543435562026474,7,0.406938141686004,0.0513919941331352,0.310764443358032,0.0181396638793465
33,0.755698443922575,0.0478006776180599,0.864219193672442,0.0294162156428463,1515.61747315024,0.827240393340476,0.0400022725292715,-816.740454045209,0.793508270965064,8,0.0487620794959146,3,0.773277699547986,0.0823876507288319,0.755698443922575,0.0478006776180599
34,0.286403085238728,0.0405486558477032,0.501304044838322,0.0135514806895131,1493.49837176757,0.487004907799633,0.0037213836740492,-951.093482718638,0.0178315438909975,9,0.0683739863820267,9,0.308675791460329,0.0886533433964476,0.297440114276697,0.0857724025030867
35,0.277919032051454,0.0309388789731647,0.606430268536732,0.0208053113168662,1523.4499402205,0.654371740598865,0.0151398278042338,-961.231769322724,0.388919037175061,6,0.0423603685172951,1,0.288590889609695,0.0523109534069352,0.257085829213452,0.0243609110726138
36,0.501737212824885,0.0396779688105334,0.73829481707318,0.0119369935875133,1576.14014176182,0.809043249103107,0.0119369935875133,-898.852883250409,0.62960292741066,2,0.0476149564687536,6,0.406888371124754,0.0403427309095899,0.622253918835139,0.0379007046116144
37,0.173517786565251,0.0384475075158348,0.921204692256132,0.0218941456845041,1722.69671094831,0.921204692256132,0.0218941456845041,-1032.13780507526,0.497454307516822,9,0.0320785212828504,9,0.126831300524087,0.0437626279929196,0.864218518887166,0.0276372817685247
38,0.921206054822982,0.0195688214388757,0.864217108948314,0.0240643349911754,1634.36675990171,0.864217108948314,0.0240643349911754,-1055.22665708989,0.629783411126795,6,0.0180710858735207,1,0.864218979716861,0.0344505841260254,0.864222551040945,0.033473510631038
39,0.738304354062337,0.0202366404536791,1,0.0314975753083857,1642.19988710001,1,0.0314975753083857,-991.823505105687,0.728845905520338,6,0.0217556827354095,5,0.960200329251822,0.0425864572621657,0.979999718386985,0.0108824356061001
40,0.38151341432561,0.0615196594060357,0.864219939768681,0.0267670555617235,1658.35677212539,0.883013709389642,0.0174534565307768,-1049.26314759873,0.366099655269519,9,0.0381898536436774,4,0.321814741002752,0.0745449791864297,0.530615792466402,0.0639321768346518
41,0.545437727216507,0.0188946911147796,0.809041144729297,0.011975512626878,1597.283403512,0.791052849279328,0.0244326634572962,-1054.70927914662,0.601043930203724,7,0.0341234676185087,8,0.60648225951467,0.0229938307850971,0.773262749758245,0.0298544146328847
42,0.288570231542554,0.0313313278158361,0.979999718386985,0.036564756192446,1635.22143884483,0.979999718386985,0.036564756192446,-955.743018427615,0.781223837969904,3,0.0453894496107547,7,0.257017601243091,0.0834633205524515,0.530655002593006,0.0214362837527939
43,0.103987383449677,0.0439921487203521,0.809046468261654,0.00350238528884843,1664.018293358,0.773267806525417,0.00992086531231161,-1038.66130684004,0.606434053053112,5,0.0341348458681715,8,0.180531582702589,0.0345885605548686,0.198247682982408,0.0345760482207197
44,0.322129587908775,0.0474295756622776,0.72109917787477,0.0179417559383502,1571.19126128818,0.827238669302872,0.0172987873167347,-1037.96467883928,0.321083761721772,7,0.0421167600476894,1,0.119905658785485,0.0617599747729235,0.516170982698179,0.0319896760436039
45,0.173446470874781,0.0517848503389733,0.979999618992262,0.0481918066932839,1623.97607520815,0.979999618992262,0.0481918066932839,-964.595727589117,0.311284209965472,2,0.0354192617797548,7,0.16516047549697,0.0517848503389733,0.59092858825193,0.0171068630818693
46,0.809046468261654,0.0418286269628595,0.86422051030733,0.0394770002471735,1298.75796731402,0.845627835085535,0.0213941769571352,-940.682848643846,0.773265882781879,3,0.0577501138990964,3,0.773267806525417,0.0350335026405096,0.809046468261654,0.0418286269628595
47,0.606460002062024,0.0363662435491516,0.755674280481314,0.0692781369749822,1273.50131400166,0.809042996426392,0.0269401305406797,-923.682475560495,0.654371740598865,2,0.0378403768244657,6,0.704125683556859,0.0447681216482109,0.62222649399364,0.0124669992622999
48,0.791064996890223,0.0694477302374768,0.940601662747383,0.0307303824015026,1271.4064860401,0.921204431198225,0.0853488299964723,-800.701119884422,0.902492341812275,8,0.0282925854803337,3,0.921204431198225,0.0853488299964723,0.791064996890223,0.0694477302374768
49,0.755672345620027,0.012454450380565,0.738290939168446,0.0338481758150198,1264.59258949078,0.755677320915707,0.0301612473178373,-919.171642275287,0.755675938909455,8,0.050090296930027,1,0.704122527664374,0.0375652527991464,0.773263317739715,0.0593366096751265
50,0.738290198996336,0.0313912274523913,0.791053482441959,0.037288539316734,1225.27032021664,0.791053482441959,0.037288539316734,-850.545863160611,0.654380286618905,1,0.0315734337922011,1,0.755674280481314,0.0562032898487123,0.791052334304225,0.0345283995669575
51,0.921200219808637,0.0944003899414537,0.940599445132179,0.130563983857452,1259.62899941351,0.940599445132179,0.130563983857452,-783.605906134216,0.921202289343804,1,0.115668303813861,1,0.940599445132179,0.130563983857452,0.921200219808637,0.0944003899414537
52,0.638184811380197,0.0222271087770339,0.622205735762184,0.0164864773703278,1258.66974028034,0.687330727059935,0.0117918819749118,-1017.61006545357,0.208474396650387,4,0.0354138026358035,3,0.590862743176955,0.0351323397891521,0.638184811380197,0.0222271087770339
53,0.704124401483657,0.0379694379352713,0.59084786560129,0.0347791688445877,1171.03340055376,0.67075799567271,0.0170002739798484,-1034.86846266199,0.314638619681196,9,0.00978173293691154,9,0.545309690638608,0.0338534271407001,0.654377270424796,0.0379694379352713
54,0.979999505050755,0.11025557691856,1,0.0481333728392952,1222.0371409754,1,0.0481333728392952,-930.723855466644,0.834641753114026,3,0.0231078080843593,6,0.979999505050755,0.11025557691856,0.979999505050755,0.11025557691856
55,0.59084495608223,0.0292750169968074,0.606423017327238,0.0280304726624926,1215.47343501921,0.606423017327238,0.0280304726624926,-844.407176427686,0.63819330828524,8,0.0290580776835654,6,0.575480148388015,0.0309148922799578,0.606423017327238,0.0150221832538657
56,0.704120456573343,0.0292350633178157,0.687336980281547,0.0194971298533561,1149.35556100417,0.7041208152059,0.0267284728250397,-800.038548841418,0.670747326962171,6,0.0319001294784399,8,0.217001264365928,0.0426065567360787,0.721105431858637,0.0369754601925614
57,0.883015215991407,0.068367486699628,0.827236540383048,0.0444397026833889,1165.60551510441,0.883015215991407,0.068367486699628,-695.810470941665,0.488728494448136,9,0.0216729599628401,8,0.883015215991407,0.0617672539496268,0.883015215991407,0.068367486699628
58,0.73828975489106,0.05020159702092,0.773265241526779,0.0304404356172653,1124.31474035189,0.73829686039461,0.0102537526323561,-764.032787705318,0.73828975489106,9,0.05020159702092,9,0.530621727495284,0.0465654561561093,0.721103595132105,0.0415601332123992
59,0.773269810390223,0.0284679842396774,0.721112429227023,0.0277737769858436,1120.73782380568,0.738300653539318,0.0280315990523218,-729.04237721833,0.723213926783845,9,0.0410405641034916,2,0.687368558387633,0.0603988859507893,0.738288219015361,0.0245906081992508
60,0.921205055187421,0.0651591850021324,0.921205055187421,0.0651591850021324,1107.60649245666,0.940602325119809,0.0437237480619989,-649.408942028613,0.921205055187421,1,0.0651591850021324,1,0.921205214366756,0.0597318371841167,0.921205055187421,0.0651591850021324
61,0.459701106569733,0.0340199391579017,0.419601659850619,0.060947026391544,1141.37742954038,0.419601659850619,0.0447038883735677,-901.166083100269,0.670753632493108,1,0.0366645201843864,4,0.446133595956956,0.0633598689096265,0.473469644849111,0.0452578896135942
62,0.419766487851057,0.0540256706521399,0.277881253339967,0.0369430944981463,1058.88879849557,0.310747394745288,0.0105532940053187,-868.607982149172,0.446264609101912,6,0.022484746559119,3,0.299631303898531,0.0440582467183552,0.419766487851057,0.0540256706521399
63,0.845626230571273,0.072363978462791,0.845628064299135,0.0695456099163911,1150.40373687008,0.864220164693144,0.0695456099163911,-861.613479882795,0.480569654856997,9,0.028269890855187,7,0.864220164693144,0.0695456099163911,0.845628064299135,0.0695456099163911
64,0.738302887081804,0.0340530996027292,0.902008183504801,0.0946496185003472,1256.8690961853,0.902008183504801,0.0946496185003472,-893.734175216124,0.864218518887166,1,0.0885537529383421,3,0.902008183504801,0.0946496185003472,0.738302887081804,0.0340530996027292
65,0.738302887081804,0.0414457564295878,0.921204346035668,0.0778016984645106,1265.87256791281,0.921204346035668,0.0778016984645106,-902.291382682155,0.921204346035668,6,0.0778016984645106,6,0.921204346035668,0.0778016984645106,0.755686451635554,0.0472086119418695
66,0.845628064299135,0.0592708948431582,0.940601662747383,0.0651305161054812,1210.662218172,0.940601662747383,0.0651305161054812,-814.98578717053,0.902008401262559,9,0.0595490859167501,2,0.809048155913751,0.051565883862802,0.845628064299135,0.0592708948431582
67,0.773271598952778,0.034753024083244,0.902011287451233,0.0560075626052203,1178.37040413306,0.883017084123704,0.0667076863193626,-798.6841267602,0.809048505012919,3,0.0609822632219806,3,0.845631726946572,0.0776600941864742,0.809050047977375,0.0250733201906665
68,0.704146228086101,0.053056899820385,0.940601662747383,0.0350246571039793,1143.35902856285,0.940601662747383,0.0350246571039793,-822.734416074357,0.590942138072188,4,0.040749667331396,4,0.845628064299135,0.0574512134133811,0.654418724519124,0.0457664523960628
69,0.827209041191794,0.0614914423022039,0.979999282820676,0.0524953905553814,1188.30595343306,0.9602,0.0318419686204086,-781.475379055748,0.960199115535901,4,0.0446094187782742,5,0.940599445132179,0.0596171743211245,0.864204714490424,0.0176140090230276
70,0.755698256397929,0.0319991185114297,0.845629144868369,0.0468276548044151,1159.38319745853,0.845629144868369,0.0468276548044151,-976.021387165772,0.586908639964276,4,0.0232087282546571,2,0.773281711472193,0.0478011140042728,0.755698256397929,0.0319991185114297
71,0.921204431198225,0.102030622376255,0.940601785143401,0.072693764023701,1131.83209640059,0.921204431198225,0.102030622376255,-946.526864468525,0.827232603488166,3,0.045979316380378,3,0.902008183504801,0.0998696759310229,0.921204431198225,0.102030622376255
72,0.687368558387633,0.0467019558028006,0.883012701421855,0.0154354538680732,1128.87573529441,0.809048155913751,0.0340122711104952,-900.921006717649,0.466787287341082,8,0.0145472990843028,7,0.809048155913751,0.0553726367845652,0.687368558387633,0.0467019558028006
73,0.197249332938361,0.0209158862638751,0.560321963152827,0.00188742161163022,1601.11794417998,0.590870198088498,0.00773400305765415,-855.531919160726,0.17602703607327,8,0.0354418755642616,1,0.288073998658683,0.037598663260533,0.245338360244492,0.0225719973433198
74,0.247035750016111,0.0414990785633705,0.560415947469709,0.00768658182727825,1530.07045355332,0.545455991287548,0.00672741841245471,-884.160169220511,0.184476166107254,7,0.0700022040025962,8,0.165288709150535,0.0438711915102035,0.267159852241178,0.019852993588153
75,0.755698443922575,0.0591294588741527,0.882947540177697,0.044799076656788,1612.24988708451,0.882947540177697,0.044799076656788,-801.739319167159,0.773280014665411,1,0.0563378298623475,1,0.864190287103761,0.0682192472956181,0.809045687109727,0.0569996848637945
76,0.267035545825802,0.0367286542593811,0.501603761149435,0.0112843978252775,1550.05520357169,0.545326518352193,0.0112843978252775,-874.562450549162,0.267005942844392,4,0.020726598944171,7,0.0987813126021849,0.0522378755994553,0.267035545825802,0.0367286542593811
77,0.267194805824067,0.019067195181774,0.545406988487174,0.00694295325642937,1464.67046659652,0.560370558701166,0.00694295325642937,-871.45865305548,0.205185533712337,7,0.0401124447324883,3,0.208783428042338,0.0697541046707126,0.267194805824067,0.019067195181774
78,0.670777628549937,0.0446135094398318,0.979999718386985,0.035130097005199,1516.50072876671,0.979999718386985,0.035130097005199,-794.911046063754,0.60704003904968,7,0.0296690192055539,1,0.459875425166904,0.0640533077230676,0.755683450912105,0.0352799398468726
79,0.189566983945059,0.0283933241054432,0.530553456116718,0.00951991887700784,1517.27467469682,0.54532695923624,0.0156112901595166,-897.633923735921,0.310334503659661,7,0.0448637626306729,1,0.0313093721405699,0.056634036614339,0.288050779296519,0.024116295364967
