"G1_mu_x1","G1_mu_x2","G2_mu_x1","G2_mu2_x2","dist_between_means","G1_var_x1","G1_var_x2","G1_covar","G1_corr","G2_var_x1","G2_var_x2","G2_covar","G2_corr","G1_skew_x1","G1_skew_x2","G2_skew_x1","G2_skew_x2"
83,0.773264728520088,0.0198951877812651,0.827229985772576,0.0304109538821399,1522.84910438486,0.809036160399524,0.013167039159122,-979.869260321037,0.489138762529526,4,0.0382487320386513,4,0.515638898322902,0.0385131003694663,0.773264728520088,0.0198951877812651
84,0.530474748714592,0.0269508889151848,0.979998651660324,0.0271796725602819,1634.00870432673,0.979998651660324,0.0271796725602819,-892.666019630847,0.52787933451488,6,0.0282922112176893,7,0.406336677464514,0.0540932066342753,0.864211951724106,0.0111787821805314
85,0.446285297962287,0.00578893885658435,0.883013627854793,0.0133721116680324,1557.61202669997,0.883013627854793,0.0133721116680324,-927.249291003596,0.461821492971276,4,0.011954612632639,4,0.236278707078584,0.0203789214885241,0.432846168897978,0.0254118015941024
86,0.773280014665411,0.0250577856504463,0.883015991137667,0.0436994009582038,1455.17361188573,0.883015991137667,0.0436994009582038,-910.234696379077,0.53381516454792,8,0.0110590480843728,5,0.827240281662969,0.0286695647591706,0.755691100637173,0.0250577856504463
87,0.57547470691843,0.0402928429391041,0.940602805090597,0.0379084221551924,1525.07379567145,0.960200994975126,0.0349179110741169,-876.355815049204,0.614635276602766,4,0.039319800791594,5,0.773280014665411,0.0326636115386069,0.791060235937936,0.0142047724942418
88,0.173664530620707,0.0276174853073104,0.827234983795347,0.0153120245097069,1541.65151460183,0.827237377997108,0.0197836086909136,-936.628249756794,0.291208878329247,8,0.0282736674703958,2,0.134296398593906,0.052350870595162,0.227587416777742,0.0460227580389832
89,0.516055588447448,0.0263445671546589,0.883014843775757,0.0147920600983232,1495.89444257122,0.883014843775757,0.0147920600983232,-963.114251226896,0.507963972615502,7,0.0224520941546309,8,0.333277837272463,0.0300251047708075,0.704132066860852,0.0157522534960109
90,0.266572911110034,0.0232948795333582,0.902009066407535,0.0197853957357696,1528.73584352578,0.902009066407535,0.0197853957357696,-929.118980215299,0.791046086863081,1,0.0334649640005104,2,0.097436353493787,0.0463525006070177,0.310029182586915,0.0183048076931655
91,0.940602325119809,0.0251116211376445,0.960200592970963,0.122072464537362,1394.58983229783,0.960200592970963,0.122072464537362,-1026.08935758127,0.809044020630922,9,0.0358906155289194,1,0.960200592970963,0.122072464537362,0.940602325119809,0.0251116211376445
92,0.980000002828211,0.118161900263095,0.980000002828211,0.118161900263095,1264.79606606799,0.980000002828211,0.118161900263095,-934.362767719751,0.960201017487119,3,0.0807439164815808,3,0.980000002828211,0.118161900263095,0.980000002828211,0.118161900263095
93,1,0.228565938557319,1,0.228565938557319,1307.5666231528,1,0.228565938557319,-892.154271258774,1,6,0.228565938557319,6,1,0.228565938557319,1,0.228565938557319
94,0.902011287451233,0.0210690962648255,0.979999929294465,0.0688351357597328,1315.52671416635,0.979999929294465,0.0688351357597328,-993.571240549641,0.864224328404114,2,0.0540364403588791,2,0.864224328404114,0.0540364403588791,0.902011287451233,0.0210690962648255
95,0.921196140118088,0.0635506552675949,0.979994837181788,0.156863074200705,1225.60367371664,0.979994837181788,0.156863074200705,-914.066069660591,0.979994837181788,2,0.156863074200705,2,0.979994837181788,0.156863074200705,0.979994837181788,0.156863074200705
96,1,0.201358694358599,1,0.201358694358599,1275.02970184285,1,0.201358694358599,-871.635768576809,1,7,0.201358694358599,7,1,0.201358694358599,1,0.201358694358599
97,0.902010004721701,0.0809906741351964,0.940601883539833,0.0462606991088214,1303.25985717052,0.902008183504801,0.0552374236674993,-957.294464440775,0.921205517601609,1,0.127063092523302,1,0.921205517601609,0.127063092523302,0.902010004721701,0.0809906741351964
98,0.902008401262559,0.0659830296182447,0.940602505109763,0.0603760609755331,1211.17763450151,0.940602505109763,0.0603760609755331,-972.256445488387,0.979999718386985,6,0.0617120592489007,7,0.960200540307816,0.0617120592489007,0.902008401262559,0.0659830296182447
99,1,0.170877412173187,0.980000002828211,0.139629315342083,1299.37852271083,0.980000002828211,0.139629315342083,-904.550964625244,0.980000002828211,3,0.139629315342083,3,1,0.170877412173187,1,0.170877412173187
100,0.721106750230251,0.0427438833805462,0.902009620688118,0.0278753498289388,1323.1891182658,0.902009620688118,0.0278753498289388,-918.106071857816,0.276970834247935,3,0.0502832084510858,8,0.864222551040945,0.04584794406239,0.721106750230251,0.0427438833805462
101,0.80904430802344,0.0215503053726541,0.921204677133922,0.0272556272714846,1209.9735739023,0.902008401262559,0.0481887042178478,-831.938293750579,0.902008401262559,5,0.0481887042178478,7,0.902008401262559,0.0481887042178478,0.827234697603525,0.0212179501494042
102,0.979999505050755,0.0833113799680894,1,0.116795094939596,1221.43875228899,1,0.116795094939596,-791.670519812898,0.979999505050755,1,0.0833113799680894,1,1,0.116795094939596,0.979999505050755,0.0833113799680894
103,0.738302887081804,0.0374782758133303,0.921204346035668,0.0224786096149443,1271.14049886382,0.902007819253298,0.0229607256698532,-923.656074473934,0.622279676550971,3,0.032011844611252,6,0.809043983983492,0.0436092860192789,0.721120947288549,0.0239611267132186
104,0.77326924244128,0.0794614784603973,0.921206054822982,0.0379869622469056,1158.2408364907,0.921206054822982,0.0379869622469056,-799.243854944019,0.940602754694028,5,0.0618782511302589,4,0.721106750230251,0.0528668554234792,0.791058285910803,0.0322440756504907
105,0.979999718386985,0.183618330597966,1,0.157276191257537,1152.31481172272,1,0.157276191257537,-733.293969239189,0.979999718386985,8,0.183618330597966,8,0.979999718386985,0.183618330597966,0.979999718386985,0.183618330597966
106,0.622253918835139,0.0488073589510132,0.86421829395725,0.0744578347423006,1201.99928917578,0.845625008061829,0.0409695582565943,-911.012636141572,0.24638065029074,1,0.015370604239414,1,0.86421829395725,0.0744578347423006,0.704135183701813,0.0167892876380834
107,0.704158705813915,0.0391902211895256,0.82723975817273,0.0271102444583581,1147.85439486267,0.827242906046212,0.023629330933694,-849.428987964999,0.634041296555289,4,0.0252338683379563,4,0.791067909067916,0.0587144211561606,0.670807073475974,0.0119404064304696
